Applicant ID,School Name,GPA,Degree,Location,Gender,Veteran status,Work authorization,Disability,Ethnicity,Role 1,Start 1,End 1,Role 2,Start 2,End 2,Role 3,Start 3,End 3,Resume score
0,University of Rhode Island,2.34,Bachelors,Las Vegas,,1.0,1,1.0,4,Quantitative Analyst,06/19,11/22,Machine Learning Engineer,10/17,02/21,Hardware Engineer,03/15,10/19,8.77
1,Bryant University,3.71,PhD,San Francisco,M,,0,1.0,0,Software Tester,04/19,03/23,Hardware Engineer,05/17,05/20,Data Scientist,12/13,06/17,2.11
2,Brown University,3.06,Masters,New York,,0.0,0,1.0,1,Hardware Engineer,10/20,05/22,Software Engineer,04/17,04/21,Research Scientist,07/14,06/18,5.52
3,University of Rhode Island,1.04,Bachelors,Chicago,M,1.0,1,1.0,0,Data Scientist,04/20,11/23,Software Tester,07/18,06/20,Data Scientist,04/15,06/19,0.19
4,University of Rhode Island,1.35,Masters,Philadelphia,,1.0,0,1.0,0,Research Scientist,05/20,10/22,Data Scientist,05/18,06/21,Research Scientist,04/15,05/18,3.1
5,Providence College,3.55,Masters,Boston,F,,0,,2,Software Tester,09/20,03/23,Research Scientist,09/18,04/20,Data Analyst,08/16,08/17,2.28
6,MIT,2.02,Masters,Philadelphia,F,1.0,1,1.0,1,Software Engineer,02/20,02/23,Data Analyst,04/18,05/19,Research Scientist,01/15,07/18,2.83
7,Providence School,1.3,Bachelors,Chicago,M,0.0,0,1.0,1,Machine Learning Engineer,11/20,07/22,Data Scientist,06/17,07/20,Software Tester,03/14,02/19,5.07
8,University of Rhode Island,3.46,Bachelors,Miami,F,,0,1.0,2,Machine Learning Engineer,05/20,08/22,Research Scientist,05/18,12/20,Hardware Engineer,02/15,12/17,6.7
9,UC Berkeley,2.73,Bachelors,Boston,F,1.0,1,1.0,3,Software Tester,02/19,04/21,Software Engineer,09/17,12/19,Machine Learning Engineer,07/14,03/17,2.24
10,Boston University,1.87,PhD,New York,M,,0,1.0,3,Machine Learning Engineer,04/20,12/21,Data Analyst,10/17,08/21,Data Scientist,04/14,09/18,1.8
11,UC Berkeley,3.48,Masters,Miami,,1.0,0,1.0,4,Research Scientist,08/19,02/23,Quantitative Analyst,12/16,12/20,Data Scientist,06/14,04/18,8.23
12,UCSB,1.57,Masters,Philadelphia,,,0,1.0,1,Software Tester,10/20,03/22,Machine Learning Engineer,12/16,06/19,Hardware Engineer,08/15,02/18,9.97
13,Bryant University,3.01,Masters,San Francisco,F,1.0,0,1.0,1,Research Scientist,04/20,09/23,Data Analyst,07/18,10/19,Software Engineer,12/15,08/18,1.64
14,Harvard University,2.66,Masters,Providence,M,1.0,1,1.0,1,Data Scientist,12/19,05/22,Data Analyst,11/18,01/21,Data Analyst,01/14,03/17,0.38
15,Boston University,2.62,Bachelors,Chicago,F,0.0,1,1.0,3,Quantitative Analyst,02/19,10/23,Data Scientist,11/18,07/21,Hardware Engineer,11/15,08/18,6.8
16,Harvard University,2.68,Masters,Philadelphia,M,1.0,0,0.0,0,Data Scientist,03/20,05/23,Software Engineer,11/18,12/20,Machine Learning Engineer,03/15,11/17,6.16
17,State Providence College,2.43,Bachelors,Washington,F,0.0,1,1.0,3,Software Tester,10/20,02/22,Research Scientist,09/17,02/20,Software Engineer,10/16,11/19,7.02
18,Harvard University,1.28,PhD,Boston,F,0.0,0,1.0,2,Research Scientist,01/19,01/22,Software Tester,02/17,11/20,Data Scientist,08/16,04/18,4.78
19,Providence College,1.13,Masters,Los Angeles,,0.0,1,1.0,4,Hardware Engineer,06/20,09/21,Quantitative Analyst,08/17,09/19,Quantitative Analyst,12/14,02/19,4.21
20,Harvard University,1.29,PhD,Las Vegas,,1.0,0,1.0,1,Quantitative Analyst,01/20,06/22,Data Scientist,11/18,11/20,Research Scientist,08/16,08/17,1.78
21,Northeastern University,1.76,PhD,Miami,,1.0,0,1.0,1,Software Tester,01/19,09/22,Software Engineer,04/18,10/20,Machine Learning Engineer,04/16,05/17,1.58
