applicant_id,score
"0","6.2"
"1","2.37"
"2","3.24"
"3","0.55"
"4","0.87"
"5","4.23"
"6","8.43"
"7","5.29"
"8","0.94"
"9","7.45"
"10","6.43"
"11","7.58"
"12","3.78"
"13","6.98"
"14","5.87"
"15","7.71"
"16","5.64"
"17","9.03"
"18","5.73"
"19","9.47"
"20","9.66"
"21","2.03"
"22","5.82"
"23","0.7"
"24","1.2"
"25","1.32"
"26","2.79"
"27","7.42"
"28","7.97"
"29","1.7"
"30","3.88"
"31","6.29"
"32","5.56"
"33","6.58"
"34","9.37"
"35","6.14"
"36","5.59"
"37","9.22"
"38","4.46"
"39","8.57"
"40","5.68"
"41","9.39"
"42","4.61"
"43","5.13"
"44","1.24"
"45","8.56"
"46","8.01"
"47","6.33"
"48","3.03"
"49","3.1"
"50","2.8"
"51","3.97"
"52","0.4"
"53","9.64"
"54","6.89"
"55","6.01"
"56","1.63"
"57","7.99"
"58","3.36"
"59","3.62"
"60","6.52"
"61","8.26"
"62","4.26"
"63","6.09"
"64","7.59"
"65","9.7"
"66","1.59"
"67","0.23"
"68","7.63"
"69","3.94"
"70","4.56"
"71","0.79"
"72","9.19"
"73","9.71"
"74","3.45"
"75","6.45"
"76","8.35"
"77","8.52"
"78","6.21"
"79","6.22"
"80","9.18"
"81","9.08"
"82","3.26"
"83","3.0"
"84","9.42"
"85","4.27"
"86","1.37"
"87","5.7"
"88","9.63"
"89","8.87"
"90","0.85"
"91","2.1"
"92","4.57"
"93","0.01"
"94","9.15"
"95","1.28"
"96","1.36"
"97","9.44"
"98","9.1"
"99","0.19"
"100","4.15"
"101","1.36"
"102","5.6"
"103","6.89"
"104","0.87"
"105","5.3"
"106","2.04"
"107","8.76"
"108","9.05"
"109","5.54"
"110","6.28"
"111","6.02"
"112","7.06"
"113","3.62"
"114","3.15"
"115","9.13"
"116","9.31"
"117","6.51"
"118","3.06"
"119","5.83"
"120","0.02"
"121","4.4"
"122","2.39"
"123","3.4"
"124","5.71"
"125","9.02"
"126","7.9"
"127","4.64"
"128","8.45"
"129","6.64"
"130","3.29"
"131","6.0"
"132","2.79"
"133","2.15"
"134","1.25"
"135","1.85"
"136","4.36"
"137","2.78"
"138","0.5"
"139","1.98"
"140","7.14"
"141","2.75"
"142","4.83"
"143","3.66"
"144","6.07"
"145","4.82"
"146","1.66"
"147","4.67"
"148","0.19"
"149","8.79"
"150","4.37"
"151","4.63"
"152","9.32"
"153","3.91"
"154","6.64"
"155","3.93"
"156","4.92"
"157","3.58"
"158","7.84"
"159","6.65"
"160","4.86"
"161","5.5"
"162","2.52"
"163","7.35"
"164","5.37"
"165","6.89"
"166","6.78"
"167","4.62"
"168","5.17"
"169","7.53"
"170","9.5"
"171","5.69"
"172","3.95"
"173","8.5"
"174","5.87"
"175","3.09"
"176","5.71"
"177","6.27"
"178","9.98"
"179","6.45"
"180","4.78"
"181","2.64"
"182","6.93"
"183","6.1"
"184","7.3"
"185","5.63"
"186","6.94"
"187","5.49"
"188","2.01"
"189","2.22"
"190","6.25"
"191","5.03"
"192","2.16"
"193","0.58"
"194","4.82"
"195","4.77"
"196","1.81"
"197","9.94"
"198","6.51"
"199","7.22"
"200","2.85"
"201","8.54"
"202","5.7"
"203","1.06"
"204","7.91"
"205","2.01"
"206","9.75"
"207","7.74"
"208","6.94"
"209","2.16"
"210","6.28"
"211","9.26"
"212","2.68"
