applicant_id,score
"0","3.25"
"1","6.82"
"2","7.09"
"3","9.29"
"4","9.35"
"5","9.74"
"6","7.62"
"7","8.86"
"8","9.98"
"9","2.48"
"10","1.36"
"11","4.28"
"12","4.31"
"13","7.37"
"14","4.86"
"15","7.46"
"16","5.68"
"17","3.74"
"18","9.38"
"19","1.46"
"20","4.23"
"21","2.92"
"22","6.79"
"23","1.51"
"24","6.27"
"25","4.84"
"26","2.67"
"27","3.62"
"28","3.39"
"29","7.87"
"30","2.7"
"31","3.3"
"32","4.59"
"33","4.22"
"34","1.88"
"35","5.72"
"36","8.92"
"37","4.81"
"38","5.83"
"39","6.43"
"40","5.45"
"41","1.67"
"42","2.04"
"43","0.91"
"44","8.76"
"45","7.16"
"46","3.58"
"47","5.61"
"48","4.62"
"49","9.92"
"50","4.31"
"51","6.4"
"52","6.02"
"53","0.79"
"54","3.77"
"55","2.99"
"56","0.44"
"57","7.57"
"58","6.68"
"59","1.93"
"60","9.0"
"61","2.04"
"62","3.69"
"63","2.88"
"64","3.55"
"65","0.57"
"66","1.68"
"67","8.18"
"68","9.31"
"69","9.78"
"70","1.7"
"71","3.01"
"72","6.73"
"73","6.26"
"74","5.4"
"75","0.23"
"76","8.89"
"77","6.52"
"78","3.14"
"79","4.39"
"80","0.74"
"81","6.26"
"82","9.05"
"83","3.95"
"84","4.45"
"85","7.35"
"86","0.9"
"87","2.24"
"88","9.01"
"89","7.28"
"90","1.5"
"91","6.47"
"92","2.02"
"93","5.81"
"94","3.57"
"95","5.3"
"96","1.27"
"97","9.78"
"98","4.52"
"99","1.79"
"100","0.62"
"101","0.1"
"102","0.69"
"103","7.67"
"104","0.47"
"105","8.45"
"106","2.85"
"107","3.22"
"108","9.56"
"109","7.94"
"110","6.14"
"111","8.97"
"112","4.97"
"113","9.0"
"114","4.06"
"115","2.88"
"116","8.43"
"117","0.07"
"118","4.79"
"119","3.34"
"120","9.49"
"121","0.58"
"122","8.58"
"123","3.14"
"124","3.26"
"125","8.72"
"126","6.47"
"127","3.74"
"128","9.19"
"129","5.02"
"130","9.31"
"131","9.07"
"132","2.08"
"133","9.01"
"134","4.26"
"135","9.98"
"136","1.21"
"137","6.23"
"138","9.95"
"139","2.49"
"140","1.76"
"141","4.13"
"142","4.95"
"143","9.18"
"144","4.3"
"145","5.69"
"146","6.88"
"147","3.25"
"148","3.03"
"149","7.89"
"150","6.13"
"151","9.21"
"152","3.2"
"153","9.58"
"154","6.03"
"155","0.19"
"156","7.04"
"157","8.22"
"158","4.01"
"159","6.78"
"160","3.94"
"161","0.11"
"162","4.73"
"163","0.72"
"164","7.87"
"165","5.29"
"166","0.25"
"167","5.9"
"168","3.68"
"169","5.3"
"170","8.66"
"171","2.68"
"172","4.03"
"173","6.25"
"174","6.58"
"175","7.47"
"176","2.32"
"177","6.04"
"178","8.41"
"179","8.98"
"180","6.97"
"181","3.58"
"182","6.71"
"183","9.91"
"184","1.9"
"185","5.53"
"186","7.61"
"187","9.64"
"188","3.47"
"189","8.3"
"190","2.18"
"191","8.03"
"192","8.33"
"193","10.0"
"194","4.47"
"195","0.76"
"196","0.79"
"197","5.07"
"198","5.68"
"199","7.16"
"200","0.51"
"201","2.52"
"202","3.83"
"203","8.69"
"204","0.81"
"205","0.38"
"206","0.21"
"207","2.77"
"208","9.9"
"209","4.88"
"210","9.69"
"211","8.1"
"212","2.19"
"213","8.0"
"214","0.01"
"215","0.16"
"216","7.76"
"217","0.35"
"218","3.37"
"219","0.18"
"220","4.71"
"221","3.89"
"222","3.59"
"223","5.66"
"224","0.75"
"225","1.43"
"226","9.97"
"227","9.29"
"228","3.62"
"229","4.35"
"230","1.83"
"231","8.05"
"232","5.34"
"233","7.94"
"234","2.38"
"235","9.28"
"236","8.71"
"237","3.34"
"238","9.67"
"239","0.43"
"240","4.99"
"241","5.65"
"242","5.59"
"243","6.97"
"244","8.28"
"245","1.04"
"246","0.47"
"247","1.66"
"248","4.35"
"249","0.39"
"250","5.34"
"251","0.16"
"252","2.2"
"253","4.02"
"254","6.92"
"255","2.27"
"256","5.64"
"257","2.38"
"258","4.83"
"259","3.77"
"260","0.69"
"261","8.07"
"262","3.23"
"263","5.08"
"264","9.17"
"265","2.24"
"266","3.52"
"267","5.2"
"268","2.31"
"269","6.73"
"270","7.11"
"271","4.99"
"272","9.13"
"273","3.91"
"274","8.28"
"275","2.06"
"276","0.57"
"277","8.72"
"278","8.8"
"279","1.8"
"280","4.03"
"281","5.68"
"282","7.97"
"283","2.29"
"284","5.88"
"285","4.87"
"286","0.28"
"287","6.56"
"288","3.0"
"289","2.99"
"290","7.79"
"291","9.46"
"292","7.1"
"293","6.58"
"294","4.56"
"295","9.42"
"296","0.09"
"297","6.14"
"298","4.78"
"299","9.3"
"300","1.0"
"301","6.55"
"302","7.22"
"303","8.65"
"304","9.03"
"305","9.69"
"306","9.71"
"307","8.04"
"308","6.82"
"309","9.14"
"310","6.42"
"311","0.3"
"312","9.79"
"313","9.69"
"314","8.74"
"315","7.33"
"316","6.92"
"317","4.27"
"318","8.66"
"319","3.19"
"320","7.17"
"321","9.64"
"322","1.28"
"323","3.51"
"324","4.63"
"325","8.91"
"326","0.65"
"327","1.31"
"328","9.08"
"329","8.59"
"330","1.4"
"331","2.07"
"332","2.11"
"333","2.74"
"334","9.99"
"335","7.43"
"336","7.11"
"337","9.87"
"338","5.38"
"339","4.92"
"340","5.36"
"341","2.76"
"342","9.18"
"343","8.33"
"344","3.42"
"345","8.6"
"346","1.96"
"347","8.76"
"348","2.69"
"349","0.77"
"350","9.14"
"351","5.18"
"352","9.51"
"353","2.69"
"354","3.58"
"355","4.76"
"356","6.72"
"357","2.89"
"358","4.58"
"359","1.67"
"360","5.86"
"361","5.59"
"362","1.92"
"363","2.56"
"364","7.0"
"365","6.88"
"366","5.32"
"367","6.84"
"368","6.18"
"369","7.47"
"370","9.79"
"371","3.61"
"372","1.54"
"373","3.41"
"374","7.58"
"375","0.42"
"376","7.54"
"377","4.58"
"378","4.71"
"379","7.9"
"380","6.67"
"381","6.48"
"382","5.55"
"383","2.5"
"384","4.75"
"385","1.92"
"386","7.06"
"387","3.87"
"388","7.6"
"389","1.88"
"390","7.29"
"391","6.81"
"392","3.29"
"393","4.84"
"394","5.88"
"395","7.61"
"396","0.22"
"397","1.56"
"398","6.62"
"399","8.36"
"400","0.6"
"401","7.08"
"402","4.02"
"403","3.06"
"404","4.74"
"405","7.4"
"406","4.52"
"407","8.64"
"408","6.32"
"409","4.03"
"410","8.26"
"411","0.94"
"412","4.11"
"413","6.64"
"414","8.95"
"415","4.78"
"416","4.68"
"417","3.4"
"418","8.58"
"419","5.39"
"420","7.77"
"421","5.71"
"422","4.32"
"423","0.18"
"424","9.01"
"425","8.8"
"426","4.16"
"427","2.85"
"428","2.81"
"429","4.56"
"430","6.38"
"431","3.4"
"432","7.6"
