applicant_id,score
"0","4.41"
"1","4.38"
"2","7.86"
"3","3.54"
"4","6.46"
"5","3.07"
"6","0.65"
"7","5.61"
"8","1.3"
"9","3.46"
"10","1.42"
"11","2.46"
"12","3.55"
"13","1.44"
"14","6.13"
"15","4.71"
"16","5.62"
"17","8.46"
"18","2.05"
"19","7.68"
"20","9.47"
"21","8.51"
"22","7.32"
"23","8.92"
"24","2.87"
"25","1.74"
"26","9.96"
"27","5.33"
"28","3.17"
"29","3.48"
"30","2.04"
"31","1.31"
"32","2.19"
"33","9.79"
"34","1.59"
"35","0.09"
"36","8.25"
"37","5.93"
"38","2.82"
"39","8.9"
"40","5.68"
"41","6.58"
"42","3.27"
"43","2.0"
"44","9.61"
"45","1.61"
"46","7.0"
"47","0.08"
"48","5.1"
"49","2.41"
"50","3.87"
"51","8.52"
"52","4.78"
"53","1.46"
"54","0.82"
"55","1.86"
"56","7.43"
"57","3.32"
"58","8.48"
"59","3.17"
"60","3.38"
"61","3.63"
"62","1.05"
"63","8.7"
"64","8.3"
"65","1.03"
"66","0.71"
"67","7.48"
"68","9.94"
"69","5.18"
"70","1.37"
"71","0.72"
"72","1.87"
"73","3.57"
"74","3.72"
"75","3.97"
"76","0.54"
"77","2.14"
"78","9.5"
"79","6.91"
"80","6.77"
"81","8.12"
"82","5.57"
"83","9.86"
"84","9.33"
"85","2.39"
"86","0.91"
"87","5.41"
"88","9.61"
"89","3.37"
"90","1.89"
"91","0.35"
"92","3.42"
"93","1.32"
"94","4.04"
"95","6.67"
"96","7.92"
"97","9.64"
"98","7.3"
"99","6.71"
"100","2.07"
"101","9.74"
"102","8.55"
"103","9.39"
"104","3.54"
"105","9.54"
"106","2.29"
"107","0.14"
"108","9.07"
"109","1.39"
"110","1.53"
"111","3.47"
"112","9.4"
"113","2.59"
"114","6.02"
"115","8.82"
"116","5.27"
"117","1.64"
"118","7.74"
"119","0.77"
"120","6.25"
"121","4.27"
"122","2.47"
"123","6.28"
"124","0.81"
"125","2.0"
"126","3.21"
"127","5.34"
"128","3.91"
"129","3.91"
"130","9.82"
"131","1.13"
"132","2.87"
"133","9.72"
"134","9.78"
"135","3.26"
"136","6.88"
"137","8.04"
"138","3.56"
"139","7.75"
"140","9.32"
"141","9.14"
"142","5.47"
"143","3.66"
"144","7.27"
"145","8.32"
"146","1.58"
"147","2.98"
"148","8.91"
"149","4.76"
"150","0.02"
"151","5.56"
"152","6.69"
"153","9.89"
"154","8.6"
"155","9.49"
"156","6.82"
"157","1.56"
"158","8.99"
"159","7.96"
"160","7.07"
"161","2.4"
"162","6.23"
"163","1.95"
"164","8.34"
"165","7.48"
"166","7.5"
"167","5.81"
"168","3.42"
"169","4.95"
"170","5.12"
"171","6.1"
"172","0.3"
"173","0.75"
"174","2.31"
"175","3.83"
"176","1.27"
"177","7.62"
"178","2.23"
"179","1.07"
"180","7.66"
"181","0.42"
"182","3.37"
"183","9.91"
"184","1.93"
"185","7.66"
"186","7.89"
"187","7.32"
"188","0.95"
"189","7.73"
"190","5.19"
"191","6.07"
"192","0.65"
"193","8.48"
"194","9.31"
"195","1.27"
"196","4.55"
"197","6.46"
"198","0.43"
"199","9.99"
"200","3.89"
"201","8.52"
"202","5.05"
"203","9.44"
"204","6.95"
"205","2.52"
"206","8.83"
"207","9.14"
"208","7.54"
"209","8.0"
"210","2.24"
"211","8.55"
"212","1.4"
"213","8.12"
"214","9.44"
"215","0.71"
"216","8.71"
"217","9.46"
"218","1.55"
"219","5.89"
"220","3.8"
"221","9.21"
"222","7.1"
"223","5.72"
"224","7.28"
"225","0.03"
"226","8.19"
"227","9.62"
"228","2.72"
"229","5.4"
"230","9.81"
"231","1.87"
"232","4.65"
"233","3.66"
"234","1.37"
"235","7.05"
"236","2.97"
"237","7.61"
"238","7.95"
"239","7.43"
"240","0.27"
"241","0.46"
"242","4.44"
"243","8.14"
"244","0.06"
"245","6.11"
"246","4.49"
"247","2.77"
"248","9.18"
"249","6.98"
"250","0.02"
"251","3.46"
"252","5.44"
"253","1.92"
"254","3.63"
"255","8.54"
"256","1.23"
"257","3.72"
"258","9.56"
"259","8.85"
"260","0.7"
"261","1.03"
"262","8.61"
"263","3.06"
"264","0.46"
"265","5.65"
"266","7.15"
"267","9.26"
"268","4.49"
"269","6.83"
"270","3.14"
"271","9.69"
"272","3.87"
"273","8.13"
"274","8.18"
"275","1.51"
"276","4.52"
"277","3.49"
"278","2.46"
