Applicant ID,School Name,GPA,Degree,Location,Gender,Veteran status,Work authorization,Disability,Ethnicity,Role 1,Start 1,End 1,Role 2,Start 2,End 2,Role 3,Start 3,End 3,Resume score
0,University of Rhode Island,2.34,Bachelors,Las Vegas,M,1.0,1,1.0,4,Quantitative Analyst,06/19,11/22,Machine Learning Engineer,10/17,02/21,Hardware Engineer,03/15,10/19,5.06
1,Bryant University,3.71,PhD,San Francisco,M,,0,,0,Software Tester,04/19,03/23,Hardware Engineer,05/17,05/20,Data Scientist,12/13,06/17,8.66
2,Brown University,3.06,Masters,New York,M,0.0,0,,1,Hardware Engineer,10/20,05/22,Software Engineer,04/17,04/21,Research Scientist,07/14,06/18,4.57
3,University of Rhode Island,1.04,Bachelors,Chicago,M,1.0,1,,0,Data Scientist,04/20,11/23,Software Tester,07/18,06/20,Data Scientist,04/15,06/19,6.73
4,University of Rhode Island,1.35,Masters,Philadelphia,M,1.0,0,0.0,0,Research Scientist,05/20,10/22,Data Scientist,05/18,06/21,Research Scientist,04/15,05/18,8.36
5,Providence College,3.55,Masters,Boston,M,,0,,2,Software Tester,09/20,03/23,Research Scientist,09/18,04/20,Data Analyst,08/16,08/17,8.54
6,MIT,2.02,Masters,Philadelphia,F,1.0,1,,1,Software Engineer,02/20,02/23,Data Analyst,04/18,05/19,Research Scientist,01/15,07/18,2.82
7,Providence School,1.3,Bachelors,Chicago,M,0.0,0,0.0,1,Machine Learning Engineer,11/20,07/22,Data Scientist,06/17,07/20,Software Tester,03/14,02/19,2.73
8,University of Rhode Island,3.46,Bachelors,Miami,M,,0,,2,Machine Learning Engineer,05/20,08/22,Research Scientist,05/18,12/20,Hardware Engineer,02/15,12/17,8.22
9,UC Berkeley,2.73,Bachelors,Boston,M,1.0,1,0.0,3,Software Tester,02/19,04/21,Software Engineer,09/17,12/19,Machine Learning Engineer,07/14,03/17,8.34
10,Boston University,1.87,PhD,New York,M,,0,,3,Machine Learning Engineer,04/20,12/21,Data Analyst,10/17,08/21,Data Scientist,04/14,09/18,8.3
11,UC Berkeley,3.48,Masters,Miami,M,1.0,0,0.0,4,Research Scientist,08/19,02/23,Quantitative Analyst,12/16,12/20,Data Scientist,06/14,04/18,6.98
12,UCSB,1.57,Masters,Philadelphia,M,,0,0.0,1,Software Tester,10/20,03/22,Machine Learning Engineer,12/16,06/19,Hardware Engineer,08/15,02/18,0.14
