applicant_id,score
"0","3.08"
"1","1.96"
"2","7.13"
"3","3.71"
"4","3.08"
"5","4.49"
"6","9.23"
"7","5.02"
"8","1.43"
"9","0.54"
"10","5.23"
"11","5.66"
"12","5.9"
"13","6.97"
"14","5.43"
"15","9.12"
"16","7.31"
"17","5.23"
"18","9.62"
"19","1.33"
"20","2.72"
"21","2.88"
"22","6.29"
"23","6.1"
"24","3.8"
"25","2.17"
"26","2.87"
"27","4.67"
"28","8.86"
"29","7.59"
"30","8.61"
"31","4.61"
"32","8.74"
"33","7.59"
"34","8.05"
"35","5.01"
"36","8.06"
"37","2.7"
"38","7.39"
"39","4.47"
"40","2.97"
"41","9.82"
"42","3.75"
"43","3.66"
"44","6.34"
"45","5.41"
"46","5.44"
"47","3.62"
"48","2.2"
"49","0.77"
"50","4.86"
"51","0.28"
"52","4.76"
"53","5.23"
"54","9.84"
"55","0.9"
"56","8.07"
"57","9.99"
"58","1.88"
"59","4.42"
"60","4.63"
"61","4.09"
"62","1.66"
"63","6.73"
"64","1.98"
"65","8.62"
"66","0.79"
"67","9.28"
"68","0.18"
"69","9.93"
"70","3.91"
"71","7.57"
"72","3.21"
"73","8.35"
"74","6.43"
"75","0.56"
"76","6.71"
"77","2.34"
"78","2.74"
"79","1.77"
"80","9.28"
"81","7.52"
"82","8.76"
"83","2.03"
"84","1.63"
"85","9.08"
"86","1.0"
"87","3.56"
"88","5.11"
"89","8.26"
"90","1.27"
"91","8.59"
"92","0.27"
"93","3.09"
"94","4.3"
"95","4.85"
"96","7.04"
"97","7.62"
"98","9.11"
"99","3.39"
"100","1.67"
"101","5.17"
"102","5.86"
"103","7.13"
"104","5.01"
"105","2.36"
"106","0.71"
"107","9.16"
"108","7.57"
"109","8.45"
"110","9.67"
"111","8.51"
"112","8.85"
"113","0.72"
"114","3.32"
"115","6.46"
"116","3.67"
"117","0.66"
"118","9.94"
"119","1.02"
"120","0.18"
"121","6.76"
"122","8.42"
"123","1.33"
"124","6.1"
"125","4.38"
"126","6.81"
"127","7.77"
"128","5.95"
"129","2.06"
"130","4.2"
"131","8.12"
"132","7.22"
"133","3.65"
"134","7.28"
"135","5.93"
"136","1.61"
"137","9.06"
"138","8.91"
"139","7.97"
"140","3.02"
"141","5.82"
"142","5.39"
"143","0.63"
"144","9.22"
"145","7.87"
"146","7.99"
"147","7.01"
"148","8.54"
"149","3.12"
"150","3.55"
"151","8.02"
"152","2.36"
"153","5.8"
"154","2.94"
"155","9.22"
"156","7.0"
"157","6.11"
"158","3.56"
"159","9.32"
"160","5.87"
"161","9.51"
"162","0.73"
"163","1.41"
"164","0.6"
"165","8.27"
"166","4.19"
"167","4.21"
"168","9.07"
"169","0.83"
"170","5.39"
"171","8.09"
"172","2.63"
"173","5.76"
"174","3.31"
"175","5.34"
"176","2.24"
"177","5.01"
"178","3.17"
"179","3.43"
"180","6.48"
"181","3.26"
"182","3.97"
"183","9.89"
"184","8.58"
"185","5.2"
"186","8.23"
"187","9.83"
"188","0.05"
"189","7.95"
"190","9.63"
"191","0.17"
"192","5.0"
"193","6.56"
"194","9.18"
"195","2.92"
"196","6.27"
"197","6.02"
"198","4.69"
"199","5.4"
"200","5.32"
"201","2.96"
"202","9.34"
"203","1.5"
"204","6.3"
"205","2.99"
"206","2.6"
"207","6.26"
"208","9.04"
"209","8.26"
"210","4.23"
"211","5.08"
"212","7.54"
"213","8.61"
"214","7.66"
"215","2.3"
"216","4.42"
"217","8.73"
"218","1.87"
"219","1.03"
"220","4.17"
"221","3.97"
"222","4.33"
"223","0.67"
"224","3.77"
"225","7.27"
"226","1.98"
"227","2.02"
"228","3.24"
"229","2.46"
"230","0.45"
"231","9.97"
"232","3.82"
"233","4.66"
"234","2.98"
"235","5.49"
"236","1.09"
"237","8.72"
"238","2.94"
"239","7.96"
"240","7.24"
"241","7.04"
"242","7.54"
"243","0.87"
"244","8.85"
"245","4.65"
"246","8.32"
"247","7.09"
"248","1.88"
"249","1.3"
"250","5.0"
"251","3.58"
"252","8.82"
"253","8.26"
"254","1.83"
"255","7.03"
"256","1.11"
"257","7.06"
"258","8.47"
"259","4.41"
"260","5.26"
"261","9.05"
"262","1.31"
"263","1.08"
"264","6.47"
"265","2.38"
"266","9.79"
"267","4.25"
"268","0.2"
"269","7.49"
"270","1.05"
"271","4.01"
"272","1.3"
"273","5.28"
"274","6.95"
"275","6.35"
"276","7.68"
"277","5.99"
"278","0.89"
"279","8.15"
"280","0.22"
"281","4.36"
"282","9.89"
"283","3.39"
"284","5.14"
"285","4.12"
"286","6.1"
"287","1.0"
"288","6.28"
"289","6.09"
"290","4.1"
"291","4.22"
"292","5.96"
"293","0.77"
"294","7.43"
"295","6.26"
"296","2.48"
"297","4.38"
"298","4.28"
"299","7.06"
"300","1.38"
"301","3.33"
"302","7.43"
