applicant_id,score
"0","5.06"
"1","8.66"
"2","4.57"
"3","6.73"
"4","8.36"
"5","8.54"
"6","2.82"
"7","2.73"
"8","8.22"
"9","8.34"
"10","8.3"
"11","6.98"
"12","0.14"
"13","9.99"
"14","5.41"
"15","5.93"
"16","8.63"
"17","5.37"
"18","5.07"
"19","9.5"
"20","6.09"
"21","5.64"
"22","5.96"
"23","3.2"
"24","4.65"
"25","1.48"
"26","4.85"
"27","4.51"
"28","8.83"
"29","4.26"
"30","4.28"
"31","6.96"
"32","2.32"
"33","6.91"
"34","6.59"
"35","0.56"
"36","6.79"
"37","3.49"
"38","9.1"
"39","8.55"
"40","2.93"
"41","9.44"
"42","8.29"
"43","3.72"
"44","5.3"
"45","3.57"
"46","2.52"
"47","6.62"
"48","0.5"
"49","2.66"
"50","5.16"
"51","9.79"
"52","3.75"
"53","2.68"
"54","9.46"
"55","9.67"
"56","8.59"
"57","3.84"
"58","1.0"
"59","5.52"
"60","4.84"
"61","4.46"
"62","1.18"
"63","0.18"
"64","3.48"
"65","3.95"
"66","8.76"
"67","5.06"
"68","5.51"
"69","3.26"
"70","9.69"
"71","2.33"
"72","3.02"
"73","7.7"
"74","6.26"
"75","3.19"
"76","7.45"
"77","6.95"
"78","8.72"
"79","6.57"
"80","6.22"
"81","1.15"
"82","0.37"
"83","2.66"
"84","0.19"
"85","4.05"
"86","1.48"
"87","4.56"
"88","9.05"
"89","8.79"
"90","5.11"
"91","4.27"
"92","6.54"
"93","0.59"
"94","4.51"
"95","6.36"
"96","6.83"
"97","4.48"
"98","3.22"
"99","9.71"
"100","7.16"
"101","8.95"
"102","9.45"
"103","1.85"
"104","4.22"
"105","3.52"
"106","9.74"
"107","1.43"
"108","5.31"
"109","7.11"
"110","2.94"
"111","6.19"
"112","7.51"
"113","6.09"
"114","7.5"
"115","6.21"
"116","5.76"
"117","8.33"
"118","8.65"
"119","9.68"
"120","1.69"
"121","7.19"
"122","9.61"
"123","2.2"
"124","0.77"
"125","7.42"
"126","0.77"
"127","5.5"
"128","8.65"
"129","6.46"
"130","7.27"
"131","5.67"
"132","8.39"
"133","1.86"
"134","1.87"
"135","6.98"
"136","2.25"
"137","7.67"
"138","3.33"
"139","6.97"
"140","9.2"
"141","7.13"
"142","7.86"
"143","8.34"
"144","9.76"
"145","2.46"
"146","6.04"
"147","7.64"
"148","6.77"
"149","7.2"
"150","1.29"
"151","1.13"
"152","3.29"
"153","6.43"
"154","8.57"
"155","1.52"
"156","4.24"
"157","3.18"
"158","2.59"
"159","4.45"
"160","9.15"
"161","9.94"
"162","1.66"
"163","0.4"
"164","5.45"
"165","0.35"
"166","1.98"
"167","1.3"
"168","2.17"
"169","8.33"
"170","3.28"
"171","7.68"
"172","2.93"
"173","0.1"
"174","2.4"
"175","5.61"
"176","9.25"
"177","3.84"
"178","8.29"
"179","1.92"
"180","6.74"
"181","1.65"
"182","6.3"
"183","1.63"
"184","1.14"
"185","1.43"
"186","0.77"
"187","2.16"
"188","3.85"
"189","1.17"
"190","6.74"
"191","8.6"
"192","9.99"
"193","8.67"
"194","7.42"
"195","8.99"
"196","4.34"
"197","5.05"
"198","7.14"
"199","3.39"
"200","8.97"
"201","6.09"
"202","9.29"
"203","4.45"
"204","9.52"
"205","9.26"
"206","8.08"
"207","0.73"
"208","4.7"
"209","2.26"
"210","0.45"
"211","9.77"
"212","4.13"
"213","2.97"
"214","5.26"
"215","2.53"
"216","5.38"
"217","6.62"
"218","3.61"
"219","0.99"
"220","8.63"
"221","0.47"
"222","7.43"
"223","3.99"
"224","5.86"
"225","5.71"
"226","9.85"
"227","9.46"
"228","1.3"
"229","4.52"
"230","3.02"
"231","6.23"
"232","7.3"
"233","3.1"
"234","1.99"
"235","0.73"
"236","9.16"
"237","6.75"
"238","0.16"
"239","4.7"
"240","8.95"
"241","2.06"
"242","1.27"
"243","1.55"
"244","9.22"
"245","0.92"
"246","7.62"
"247","8.96"
"248","6.18"
"249","6.19"
"250","1.74"
"251","5.75"
"252","0.69"
"253","8.91"
"254","0.27"
"255","9.84"
"256","5.22"
"257","6.49"
"258","7.58"
"259","4.62"
"260","1.85"
"261","3.56"
"262","0.66"
"263","1.42"
"264","4.03"
"265","5.97"
"266","2.6"
"267","5.66"
"268","5.29"
"269","7.2"
"270","3.95"
"271","1.19"
"272","8.76"
"273","6.2"
"274","4.76"
"275","6.81"
"276","0.25"
"277","7.12"
"278","1.76"
"279","4.66"
"280","4.16"
"281","1.69"
"282","8.74"
"283","7.69"
"284","0.85"
"285","9.27"
"286","2.03"
"287","1.84"
"288","0.43"
"289","8.97"
"290","7.53"
"291","4.16"
"292","1.07"
"293","5.37"
"294","3.66"
"295","9.51"
"296","4.35"
"297","5.02"
"298","4.63"
"299","3.08"
"300","9.13"
"301","2.12"
"302","3.87"
"303","3.39"
"304","8.93"
"305","9.14"
"306","8.96"
"307","2.17"
"308","8.29"
"309","0.89"
"310","4.3"
"311","2.02"
"312","3.01"
"313","4.24"
"314","0.49"
"315","6.64"
"316","1.79"
"317","9.71"
"318","1.65"
"319","2.76"
"320","8.74"
"321","0.4"
"322","3.18"
"323","2.2"
"324","2.85"
"325","3.82"
"326","5.03"
"327","2.56"
"328","7.77"
"329","6.46"
"330","9.51"
"331","1.55"
"332","7.28"
"333","1.71"
"334","9.8"
"335","0.02"
"336","3.51"
"337","9.16"
"338","8.05"
"339","0.31"
"340","3.93"
"341","0.87"
"342","9.6"
"343","9.29"
"344","9.02"
"345","2.24"
"346","7.59"
"347","2.74"
"348","0.57"
"349","8.83"
"350","7.6"
"351","8.39"
"352","9.29"
"353","0.36"
"354","9.0"
"355","1.82"
"356","0.07"
"357","7.17"
"358","1.7"
"359","8.53"
"360","2.29"
"361","9.49"
"362","5.51"
"363","7.56"
"364","7.03"
"365","9.26"
"366","1.27"
"367","2.54"
"368","8.24"
"369","4.58"
"370","3.03"
"371","5.26"
"372","3.54"
"373","4.58"
"374","4.26"
"375","2.19"
"376","4.66"
"377","2.72"
"378","8.42"
"379","6.82"
"380","1.04"
"381","3.42"
"382","9.26"
"383","0.34"
"384","8.78"
"385","8.63"
"386","2.85"
"387","8.72"
"388","3.97"
"389","8.1"
"390","0.62"
"391","8.78"
"392","5.99"
"393","7.22"
"394","6.95"
"395","1.01"
"396","4.34"
"397","1.17"
"398","6.37"
"399","7.58"
"400","6.6"
"401","0.64"
"402","6.86"
"403","6.31"
"404","0.2"
"405","6.15"
"406","5.5"
"407","3.41"
"408","4.5"
"409","3.94"
"410","2.05"
"411","3.83"
"412","7.61"
"413","3.91"
"414","7.46"
"415","1.13"
"416","9.91"
"417","9.7"
"418","1.88"
"419","6.38"
"420","1.72"
"421","8.06"
"422","3.93"
"423","2.72"
"424","8.14"
"425","6.63"
"426","9.74"
"427","6.64"
"428","0.78"
"429","5.93"
"430","3.09"
"431","0.4"
"432","6.48"
"433","5.53"
"434","6.0"
"435","3.39"
"436","3.82"
"437","0.29"
"438","0.23"
"439","9.53"
"440","7.99"
"441","4.08"
"442","4.26"
"443","7.74"
"444","9.37"
"445","1.93"
"446","8.59"
"447","9.19"
"448","1.16"
"449","4.12"
"450","4.32"
"451","0.89"
"452","7.35"
"453","4.02"
"454","3.21"
"455","5.19"
"456","4.2"
"457","3.15"
"458","6.65"
"459","0.4"
"460","6.23"
"461","3.46"
"462","4.41"
