applicant_id,score
"0","1.06"
"1","0.15"
"2","6.61"
"3","4.34"
"4","2.8"
"5","4.83"
"6","6.09"
"7","3.38"
"8","2.13"
"9","9.99"
"10","8.03"
"11","6.7"
"12","2.43"
"13","9.39"
"14","8.98"
"15","3.1"
"16","3.63"
"17","5.77"
"18","5.31"
"19","1.81"
"20","5.6"
"21","6.41"
"22","8.83"
"23","1.69"
"24","8.99"
"25","0.36"
"26","4.67"
"27","6.65"
"28","2.9"
"29","6.78"
"30","0.93"
"31","4.49"
"32","5.91"
"33","2.64"
"34","3.92"
"35","0.51"
"36","7.16"
"37","9.29"
"38","3.79"
"39","6.33"
"40","1.93"
"41","0.58"
"42","6.19"
"43","3.69"
"44","7.73"
"45","1.38"
"46","7.54"
"47","2.67"
"48","2.94"
"49","6.25"
"50","8.25"
"51","2.05"
"52","1.03"
"53","8.66"
"54","8.44"
"55","5.43"
"56","7.48"
"57","2.08"
"58","1.04"
"59","1.47"
"60","9.98"
"61","7.58"
"62","9.95"
"63","4.77"
"64","4.73"
"65","3.89"
"66","3.03"
"67","2.15"
"68","3.53"
"69","2.64"
"70","8.39"
"71","3.43"
"72","1.87"
"73","1.87"
"74","9.52"
"75","3.07"
"76","2.35"
"77","7.54"
"78","0.21"
"79","5.01"
"80","6.72"
"81","2.66"
"82","3.91"
"83","6.92"
"84","4.94"
"85","5.14"
"86","4.97"
"87","9.77"
"88","5.98"
"89","0.28"
"90","2.88"
"91","5.47"
"92","1.52"
"93","6.76"
"94","5.49"
"95","0.79"
"96","4.59"
"97","8.6"
"98","8.19"
"99","2.09"
"100","2.3"
"101","2.55"
"102","3.76"
"103","0.43"
"104","7.84"
"105","7.36"
"106","6.51"
"107","9.59"
"108","8.98"
"109","0.96"
"110","2.73"
"111","5.3"
"112","7.04"
"113","7.96"
"114","5.23"
"115","7.18"
"116","7.36"
"117","8.91"
"118","1.72"
"119","3.99"
"120","2.76"
"121","4.34"
"122","0.03"
"123","6.49"
"124","4.81"
"125","4.46"
"126","9.12"
"127","2.74"
"128","3.15"
"129","3.48"
"130","9.74"
"131","4.9"
"132","6.0"
"133","4.95"
"134","2.93"
"135","8.44"
"136","6.24"
"137","7.63"
"138","7.12"
"139","6.73"
"140","4.65"
"141","3.75"
"142","6.02"
"143","5.22"
"144","8.24"
"145","4.17"
"146","8.06"
"147","6.76"
"148","3.76"
"149","6.43"
"150","8.01"
"151","9.56"
"152","3.18"
"153","1.64"
"154","9.54"
"155","7.67"
"156","8.49"
"157","2.24"
"158","3.62"
"159","7.53"
"160","5.55"
"161","2.76"
"162","6.11"
"163","1.28"
"164","1.05"
"165","1.36"
"166","7.01"
"167","0.48"
"168","0.61"
"169","2.46"
"170","0.29"
"171","2.8"
"172","2.91"
"173","4.53"
"174","0.22"
"175","2.67"
"176","5.02"
"177","4.48"
"178","2.31"
"179","3.65"
"180","8.05"
"181","7.03"
"182","1.39"
"183","5.73"
"184","7.91"
"185","9.05"
"186","6.66"
"187","4.86"
"188","0.6"
"189","0.36"
"190","5.44"
"191","7.39"
"192","0.43"
"193","0.23"
"194","4.29"
"195","4.58"
"196","9.66"
"197","6.35"
"198","4.94"
"199","8.94"
"200","4.49"
"201","7.57"
"202","6.48"
"203","5.75"
"204","0.97"
"205","2.54"
"206","2.45"
"207","1.6"
"208","5.92"
"209","5.12"
"210","3.3"
"211","7.55"
"212","8.04"
"213","2.68"
"214","5.49"
"215","0.33"
"216","0.68"
"217","7.49"
"218","5.03"
"219","6.8"
"220","6.23"
"221","4.41"
"222","4.39"
"223","2.86"
"224","0.2"
"225","5.54"
"226","7.47"
"227","0.81"
"228","2.16"
"229","9.67"
"230","6.52"
"231","3.72"
"232","1.72"
"233","5.02"
"234","3.62"
"235","6.17"
"236","7.24"
"237","3.96"
"238","3.81"
"239","0.19"
"240","5.02"
"241","7.18"
"242","9.65"
"243","8.64"
"244","8.0"
"245","0.82"
"246","6.09"
"247","5.33"
"248","0.86"
"249","8.67"
"250","8.92"
"251","9.01"
"252","8.8"
"253","2.18"
"254","2.86"
"255","4.26"
"256","0.89"
"257","3.17"
"258","9.0"
"259","5.18"
"260","9.75"
"261","9.51"
"262","7.03"
"263","5.03"
"264","5.04"
"265","3.28"
"266","5.92"
"267","3.92"
"268","8.05"
"269","2.17"
"270","9.96"
"271","7.05"
"272","4.58"
"273","6.84"
"274","6.76"
"275","1.75"
"276","8.69"
"277","7.5"
"278","9.43"
"279","8.94"
"280","9.42"
"281","9.26"
"282","6.39"
"283","6.17"
"284","0.33"
"285","9.04"
"286","9.3"
"287","4.37"
"288","5.0"
"289","1.33"
"290","0.54"
"291","5.48"
"292","0.73"
"293","7.41"
"294","9.42"
"295","0.03"
"296","3.08"
"297","0.39"
"298","4.31"
"299","3.42"
"300","9.72"
"301","0.69"
"302","7.91"
"303","0.06"
"304","5.86"
"305","3.49"
"306","1.32"
"307","9.41"
"308","5.93"
"309","9.66"
"310","7.4"
"311","5.54"
"312","2.85"
"313","9.39"
"314","8.16"
"315","2.85"
"316","9.34"
"317","8.94"
"318","2.27"
"319","8.98"
"320","4.6"
"321","8.95"
"322","3.81"
"323","1.04"
"324","4.99"
"325","5.65"
"326","4.85"
"327","7.44"
"328","8.53"
"329","4.52"
"330","1.22"
"331","3.64"
"332","1.39"
"333","2.45"
"334","6.89"
"335","3.68"
"336","4.56"
"337","9.84"
"338","1.28"
"339","9.36"
"340","3.89"
"341","2.84"
"342","1.11"
"343","0.41"
"344","0.71"
"345","7.96"
"346","7.98"
"347","9.34"
"348","2.35"
"349","6.49"
"350","4.48"
"351","2.25"
"352","0.14"
"353","2.1"
"354","9.06"
"355","1.45"
"356","5.91"
"357","6.14"
"358","3.54"
"359","9.72"
"360","1.09"
"361","3.26"
"362","1.57"
"363","2.76"
"364","7.93"
"365","1.31"
"366","5.03"
"367","8.45"
"368","8.02"
"369","8.48"
"370","5.98"
"371","8.25"
"372","6.35"
"373","3.29"
"374","6.57"
"375","1.31"
"376","2.56"
"377","4.56"
"378","0.28"
"379","9.85"
"380","1.07"
"381","0.41"
"382","6.32"
"383","6.12"
"384","6.43"
"385","9.74"
"386","2.05"
"387","6.59"
"388","7.54"
"389","9.11"
"390","8.05"
"391","2.22"
"392","8.63"
"393","4.59"
"394","6.18"
"395","0.14"
"396","8.51"
"397","7.28"
"398","1.59"
"399","8.86"
"400","7.51"
"401","0.13"
"402","8.35"
"403","7.38"
"404","2.51"
"405","6.14"
"406","8.15"
"407","4.67"
"408","3.8"
"409","3.6"
"410","0.99"
"411","8.4"
"412","2.3"
"413","1.91"
"414","5.83"
"415","2.9"
"416","1.05"
"417","2.66"
"418","9.59"
"419","5.32"
"420","1.25"
"421","7.15"
"422","0.41"
"423","5.36"
"424","2.67"
"425","1.99"
"426","7.58"
"427","4.4"
"428","7.99"
"429","6.06"
"430","3.25"
"431","5.41"
"432","8.07"
"433","3.99"
"434","8.76"
"435","2.32"
"436","9.08"
"437","9.16"
"438","9.16"
"439","0.91"
"440","7.0"
"441","5.19"
"442","6.39"
"443","5.04"
"444","1.98"
"445","6.72"
"446","8.15"
"447","6.99"
"448","9.64"
"449","8.23"
"450","7.13"
"451","0.75"
"452","5.34"
"453","3.3"
"454","4.47"
"455","7.21"
"456","6.62"
"457","6.39"
"458","5.36"
"459","4.97"
"460","5.41"
"461","1.35"
"462","2.62"
"463","1.66"
"464","6.22"
"465","1.6"
"466","6.36"
"467","2.14"
"468","9.01"
"469","0.03"
"470","4.09"
"471","6.11"
"472","1.64"
"473","4.18"
"474","9.36"
"475","6.33"
"476","6.66"
"477","5.8"
"478","2.06"
"479","7.21"
"480","4.82"
"481","9.47"
"482","7.81"
"483","6.14"
"484","2.8"
"485","2.58"
"486","1.69"
"487","3.32"
"488","5.06"
"489","5.95"
"490","5.73"
"491","2.12"
