applicant_id,score
"0","9.08"
"1","1.91"
"2","4.65"
"3","7.42"
"4","3.09"
"5","9.05"
"6","8.24"
"7","4.13"
"8","6.87"
"9","9.04"
"10","4.66"
"11","1.38"
"12","7.63"
"13","5.05"
"14","4.45"
"15","4.62"
"16","0.18"
"17","9.64"
"18","4.7"
"19","6.62"
"20","6.43"
"21","7.42"
"22","9.22"
"23","5.12"
"24","9.56"
"25","0.06"
"26","1.6"
"27","9.39"
"28","9.36"
"29","3.84"
"30","4.33"
"31","1.46"
"32","1.09"
"33","9.61"
"34","9.28"
"35","1.47"
"36","1.11"
"37","8.33"
"38","5.64"
"39","6.43"
"40","9.14"
"41","6.26"
"42","2.23"
"43","2.57"
"44","7.3"
"45","5.08"
"46","4.49"
"47","4.1"
"48","4.62"
"49","2.62"
"50","7.97"
"51","3.92"
"52","1.71"
"53","3.49"
"54","7.46"
"55","1.62"
"56","3.39"
"57","0.87"
"58","4.06"
"59","6.56"
"60","6.68"
"61","2.85"
"62","0.38"
"63","2.21"
"64","8.65"
"65","4.38"
"66","6.41"
"67","1.92"
"68","2.05"
"69","9.65"
"70","1.12"
"71","7.39"
"72","9.29"
"73","1.74"
"74","1.85"
"75","8.16"
"76","3.89"
"77","8.12"
"78","7.76"
"79","2.16"
"80","5.44"
"81","3.61"
"82","9.93"
"83","1.01"
"84","9.85"
"85","1.38"
"86","2.9"
"87","2.05"
"88","0.52"
"89","2.23"
"90","1.79"
"91","7.11"
"92","5.5"
"93","4.47"
"94","8.13"
"95","0.25"
"96","9.53"
"97","4.62"
"98","7.07"
"99","3.07"
"100","9.02"
"101","4.89"
"102","1.22"
"103","5.99"
"104","6.75"
"105","3.95"
"106","8.8"
"107","5.42"
"108","7.83"
"109","9.28"
"110","4.45"
"111","3.21"
"112","2.36"
"113","4.22"
"114","1.98"
"115","4.05"
"116","2.32"
"117","5.21"
"118","6.91"
"119","3.55"
"120","9.27"
"121","9.64"
"122","7.98"
"123","3.13"
"124","4.98"
"125","0.99"
"126","6.72"
"127","8.07"
"128","2.81"
"129","6.09"
"130","4.62"
"131","4.49"
"132","8.01"
"133","6.28"
"134","6.88"
"135","7.76"
"136","1.37"
"137","6.37"
"138","2.07"
"139","3.03"
"140","5.48"
"141","1.3"
"142","7.23"
"143","3.82"
"144","5.15"
"145","0.59"
"146","8.57"
"147","8.66"
"148","1.74"
"149","7.49"
"150","6.93"
"151","5.78"
"152","6.45"
"153","7.4"
"154","3.28"
"155","3.91"
"156","2.13"
"157","8.14"
"158","9.7"
"159","3.19"
"160","4.38"
"161","4.38"
"162","3.37"
"163","5.29"
"164","2.85"
"165","3.26"
"166","6.36"
"167","3.0"
"168","6.6"
"169","6.72"
"170","7.79"
"171","5.27"
"172","1.04"
"173","2.6"
"174","2.68"
"175","9.53"
"176","9.16"
"177","3.22"
"178","5.11"
"179","8.25"
"180","2.74"
"181","7.81"
"182","1.84"
"183","7.24"
"184","7.13"
"185","3.23"
"186","9.12"
"187","6.77"
"188","9.37"
"189","2.47"
"190","9.79"
"191","7.55"
"192","2.11"
"193","3.06"
"194","7.32"
"195","6.94"
"196","0.97"
"197","1.44"
"198","0.83"
"199","8.26"
"200","9.48"
"201","9.5"
"202","4.95"
"203","3.94"
"204","1.66"
"205","0.91"
"206","2.65"
"207","5.02"
"208","3.28"
"209","2.19"
"210","6.66"
"211","9.26"
"212","7.03"
"213","4.57"
"214","5.15"
"215","8.28"
"216","2.08"
"217","0.44"
"218","1.73"
"219","1.75"
"220","7.11"
"221","0.43"
"222","9.86"
"223","5.71"
"224","3.1"
"225","9.06"
"226","1.17"
"227","6.33"
"228","6.03"
"229","3.76"
"230","0.46"
"231","8.31"
"232","3.89"
"233","6.34"
"234","9.09"
"235","8.11"
"236","0.98"
"237","8.07"
"238","9.08"
"239","4.16"
"240","4.39"
"241","8.16"
"242","6.13"
"243","3.75"
"244","6.73"
"245","1.59"
"246","7.05"
"247","4.57"
"248","3.57"
"249","1.02"
"250","2.13"
"251","3.54"
"252","2.22"
"253","5.03"
"254","3.54"
"255","8.8"
"256","6.09"
"257","1.31"
"258","6.75"
"259","8.08"
"260","7.94"
"261","0.01"
"262","5.78"
"263","0.71"
"264","6.09"
"265","8.77"
"266","0.29"
"267","7.93"
"268","0.47"
"269","1.95"
"270","3.19"
"271","4.84"
"272","1.94"
"273","4.69"
"274","6.91"
"275","5.74"
"276","9.11"
"277","7.45"
"278","0.46"
"279","7.7"
"280","4.72"
"281","8.22"
"282","5.77"
"283","2.2"
"284","7.14"
"285","2.45"
"286","7.88"
"287","9.29"
"288","1.69"
"289","8.44"
"290","1.22"
"291","1.71"
"292","0.53"
"293","5.09"
"294","3.05"
"295","6.16"
"296","6.93"
"297","2.54"
"298","3.43"
"299","3.64"
"300","1.54"
"301","4.72"
"302","1.01"
"303","8.98"
"304","4.61"
"305","8.33"
"306","1.68"
"307","8.98"
"308","3.07"
"309","7.27"
"310","2.77"
"311","8.24"
"312","4.54"
"313","5.74"
"314","3.13"
"315","1.8"
"316","7.59"
"317","7.38"
"318","5.52"
"319","9.01"
"320","5.8"
"321","5.26"
"322","0.25"
"323","8.71"
"324","5.18"
"325","6.35"
"326","2.37"
"327","4.96"
"328","1.46"
"329","9.77"
"330","3.36"
"331","1.91"
"332","2.31"
"333","8.98"
"334","6.93"
"335","2.62"
"336","3.68"
"337","0.68"
"338","4.29"
"339","9.03"
"340","4.04"
"341","9.49"
"342","3.27"
"343","3.38"
"344","2.94"
"345","9.27"
"346","4.55"
"347","4.7"
