applicant_id,score
"0","5.5"
"1","6.37"
"2","4.05"
"3","9.33"
"4","3.79"
"5","3.12"
"6","0.0"
"7","5.03"
"8","9.28"
"9","5.68"
"10","0.5"
"11","8.64"
"12","9.21"
"13","5.32"
"14","0.62"
"15","4.68"
"16","2.87"
"17","7.58"
"18","4.31"
"19","9.25"
"20","9.91"
"21","9.25"
"22","9.47"
"23","9.77"
"24","1.49"
"25","0.34"
"26","6.32"
"27","2.3"
"28","2.22"
"29","3.89"
"30","0.65"
"31","7.22"
"32","6.2"
"33","2.27"
"34","0.83"
"35","1.54"
"36","2.37"
"37","6.14"
"38","8.74"
"39","2.13"
"40","9.35"
"41","3.43"
"42","2.96"
"43","1.07"
"44","2.14"
"45","2.47"
"46","6.01"
"47","3.79"
"48","0.46"
"49","7.4"
"50","2.15"
"51","9.75"
"52","2.89"
"53","1.43"
"54","7.59"
"55","0.33"
"56","8.47"
"57","9.74"
"58","5.25"
"59","8.08"
"60","6.05"
"61","1.3"
"62","5.52"
"63","8.75"
"64","9.21"
"65","8.47"
"66","6.8"
"67","2.0"
"68","4.17"
"69","5.44"
"70","0.43"
"71","3.99"
"72","0.75"
"73","2.42"
"74","8.14"
"75","4.0"
"76","8.91"
"77","9.23"
"78","6.25"
"79","1.09"
"80","5.57"
"81","1.13"
"82","8.02"
"83","9.44"
"84","0.73"
"85","8.06"
"86","5.17"
"87","9.04"
"88","5.28"
"89","8.78"
"90","5.22"
"91","0.9"
"92","3.35"
"93","6.8"
"94","8.12"
"95","6.4"
"96","1.21"
"97","6.5"
"98","2.9"
"99","2.1"
"100","9.54"
"101","3.16"
"102","7.72"
"103","1.3"
"104","3.87"
"105","2.87"
"106","1.87"
"107","7.01"
"108","2.48"
"109","8.36"
"110","8.2"
"111","0.2"
"112","9.96"
"113","9.93"
"114","8.76"
"115","8.93"
"116","0.64"
"117","1.94"
"118","8.74"
"119","8.07"
"120","8.25"
"121","1.46"
"122","6.47"
"123","1.42"
"124","6.96"
"125","0.35"
"126","9.59"
"127","7.28"
"128","0.78"
"129","8.21"
"130","3.15"
"131","0.48"
"132","8.67"
"133","0.56"
"134","1.21"
"135","3.58"
"136","7.26"
"137","7.04"
"138","0.23"
"139","3.52"
"140","7.84"
"141","4.91"
"142","1.48"
"143","8.32"
"144","8.13"
"145","6.95"
"146","5.96"
"147","5.6"
"148","0.03"
"149","9.22"
"150","6.98"
"151","5.29"
"152","0.93"
"153","4.92"
"154","6.28"
"155","2.27"
"156","6.8"
"157","1.97"
"158","4.91"
"159","6.61"
"160","8.42"
"161","5.43"
