applicant_id,score
"0","4.56"
"1","0.62"
"2","9.5"
"3","3.87"
"4","2.86"
"5","4.51"
"6","5.32"
"7","9.92"
"8","2.87"
"9","1.86"
"10","2.49"
"11","9.32"
"12","8.7"
"13","2.69"
"14","2.91"
"15","8.71"
"16","0.0"
"17","5.3"
"18","5.28"
"19","3.75"
"20","4.13"
"21","9.28"
"22","0.55"
"23","3.09"
"24","4.8"
"25","1.06"
"26","6.83"
"27","6.84"
"28","6.79"
"29","4.12"
"30","6.54"
"31","9.75"
"32","2.91"
"33","4.98"
"34","0.02"
"35","3.39"
"36","7.88"
"37","0.21"
"38","6.76"
"39","5.91"
"40","3.2"
"41","3.2"
"42","8.69"
"43","9.78"
"44","5.27"
"45","3.86"
"46","1.54"
"47","1.35"
"48","4.59"
"49","1.45"
"50","7.76"
"51","2.75"
"52","5.29"
"53","2.49"
"54","5.7"
"55","4.91"
"56","4.69"
"57","0.49"
"58","1.37"
"59","9.81"
"60","3.95"
"61","8.32"
"62","2.55"
"63","6.73"
"64","9.25"
"65","3.61"
"66","3.29"
"67","7.76"
"68","4.33"
"69","2.09"
"70","3.72"
"71","0.35"
"72","3.82"
"73","3.33"
"74","7.44"
"75","0.84"
"76","0.54"
"77","4.42"
"78","6.67"
"79","2.2"
"80","5.33"
"81","0.68"
"82","7.48"
"83","6.45"
"84","0.78"
"85","9.98"
"86","1.8"
"87","6.94"
"88","6.04"
"89","1.86"
"90","4.45"
"91","2.49"
"92","8.13"
"93","1.97"
"94","1.65"
"95","9.57"
"96","2.29"
"97","5.91"
"98","7.77"
"99","6.82"
"100","4.63"
"101","8.54"
"102","8.49"
"103","1.58"
"104","5.22"
"105","5.9"
"106","5.34"
"107","7.91"
"108","5.41"
"109","8.81"
"110","4.75"
"111","0.21"
"112","4.88"
"113","4.05"
"114","3.6"
"115","0.18"
"116","3.42"
"117","6.77"
"118","1.94"
"119","5.24"
"120","4.89"
"121","4.69"
"122","7.87"
"123","2.14"
"124","5.77"
"125","9.76"
"126","9.83"
"127","6.9"
"128","1.83"
"129","6.91"
"130","9.12"
"131","0.44"
"132","1.44"
"133","1.44"
"134","6.66"
"135","0.13"
"136","1.61"
"137","2.5"
"138","1.62"
"139","0.83"
"140","0.3"
"141","5.29"
"142","7.55"
"143","7.24"
"144","7.47"
"145","9.34"
"146","1.04"
"147","7.06"
"148","8.87"
"149","4.19"
"150","8.34"
"151","1.68"
"152","7.18"
"153","8.9"
"154","6.71"
"155","3.38"
"156","8.62"
"157","8.01"
"158","8.18"
"159","6.42"
"160","6.09"
"161","4.35"
"162","3.45"
"163","2.16"
"164","1.6"
"165","9.15"
"166","7.14"
"167","4.59"
"168","1.16"
"169","9.74"
"170","5.58"
"171","1.51"
"172","1.21"
"173","1.32"
"174","8.71"
"175","2.54"
"176","7.43"
"177","7.15"
"178","1.61"
"179","3.76"
"180","9.08"
"181","3.86"
"182","2.28"
"183","5.65"
"184","2.95"
"185","5.35"
"186","6.52"
"187","7.92"
"188","5.94"
"189","1.96"
"190","8.94"
"191","4.53"
"192","2.63"
"193","1.34"
"194","1.37"
"195","7.16"
"196","6.73"
"197","5.66"
"198","8.85"
"199","6.09"
"200","5.44"
"201","5.71"
"202","9.58"
"203","7.35"
"204","2.13"
"205","1.17"
"206","6.67"
"207","8.49"
"208","1.45"
"209","0.55"
"210","4.86"
"211","9.69"
"212","2.67"
"213","6.65"
"214","8.83"
"215","9.62"
"216","6.58"
"217","0.75"
"218","8.06"
"219","3.48"
"220","6.08"
"221","1.08"
"222","6.42"
"223","0.45"
"224","3.76"
"225","0.43"
"226","7.95"
"227","5.09"
"228","4.51"
"229","6.35"
"230","5.26"
"231","3.85"
"232","4.65"
"233","1.91"
"234","4.21"
"235","3.31"
"236","6.33"
"237","0.73"
"238","9.97"
"239","9.55"
"240","9.47"
"241","4.41"
"242","0.24"
"243","2.39"
"244","0.37"
"245","9.19"
"246","0.8"
"247","5.59"
"248","5.56"
"249","0.89"
"250","0.33"
"251","0.33"
"252","6.61"
"253","0.73"
"254","8.14"
"255","8.1"
"256","4.54"
"257","5.62"
"258","9.85"
"259","8.75"
"260","8.61"
"261","0.54"
"262","3.17"
"263","8.66"
"264","4.02"
"265","7.38"
"266","6.82"
"267","1.9"
"268","8.99"
"269","4.08"
"270","0.52"
"271","8.65"
"272","0.02"
"273","3.14"
"274","1.2"
"275","2.37"
"276","7.27"
"277","0.2"
"278","9.42"
"279","1.68"
"280","1.5"
"281","6.01"
"282","0.92"
"283","2.23"
"284","6.12"
"285","7.74"
"286","7.06"
"287","1.24"
"288","1.03"
"289","1.74"
"290","0.83"
"291","8.31"
"292","4.44"
"293","5.88"
"294","7.39"
"295","2.83"
"296","3.93"
"297","3.2"
"298","8.74"
"299","2.15"
"300","8.29"
"301","4.44"
"302","8.32"
"303","9.38"
"304","8.94"
"305","0.71"
"306","6.2"
"307","5.28"
"308","0.08"
"309","0.84"
"310","1.61"
"311","9.76"
"312","9.16"
"313","6.3"
"314","3.17"
"315","2.63"
"316","9.42"
"317","1.97"
"318","4.43"
"319","2.45"
"320","4.43"
"321","5.71"
"322","8.95"
"323","7.23"
"324","0.3"
"325","1.84"
"326","1.04"
"327","6.14"
"328","4.01"
"329","0.13"
"330","4.52"
"331","2.98"
"332","1.08"
"333","3.93"
"334","9.41"
"335","6.99"
"336","0.09"
"337","9.73"
"338","9.69"
"339","0.13"
"340","6.49"
"341","4.13"
"342","7.25"
"343","2.94"
"344","1.01"
"345","3.21"
"346","6.26"
"347","7.84"
"348","7.7"
"349","4.58"
"350","0.63"
"351","5.85"
"352","8.92"
"353","1.75"
"354","1.65"
"355","3.98"
"356","9.04"
"357","1.6"
"358","8.34"
"359","7.5"
"360","8.22"
"361","6.68"
"362","1.86"
"363","5.63"
"364","2.11"
"365","4.19"
"366","6.87"
"367","1.15"
"368","1.31"
"369","9.93"
"370","7.35"
"371","2.54"
"372","0.93"
"373","2.45"
"374","8.53"
"375","5.59"
"376","5.24"
"377","5.3"
"378","5.86"
"379","6.26"
"380","8.73"
"381","9.29"
"382","8.9"
"383","3.1"
"384","0.22"
"385","7.06"
"386","7.36"
"387","3.53"
"388","9.12"
"389","7.18"
"390","5.83"
"391","3.08"
"392","8.41"
"393","2.92"
"394","1.18"
"395","6.51"
"396","8.62"
"397","4.68"
"398","4.58"
"399","1.03"
"400","3.98"
"401","8.49"
"402","0.15"
"403","8.32"
"404","0.37"
"405","2.05"
"406","4.89"
"407","4.94"
"408","7.39"
"409","3.89"
"410","6.7"
"411","8.68"
"412","5.15"
"413","0.94"
"414","8.58"
"415","6.21"
"416","4.8"
"417","2.07"
"418","2.4"
"419","1.82"
"420","7.88"
"421","5.83"
"422","6.23"
"423","0.36"
"424","4.37"
"425","4.81"
"426","8.21"
"427","5.44"
"428","6.79"
"429","0.04"
"430","7.78"
"431","8.31"
"432","0.71"
"433","9.07"
"434","7.63"
"435","2.62"
"436","7.56"
"437","1.49"
"438","3.3"
"439","2.85"
"440","9.58"
"441","4.55"
"442","5.45"
"443","1.67"
"444","0.91"
"445","1.18"
"446","8.4"
"447","5.68"
"448","9.44"
"449","4.9"
"450","1.24"
"451","1.13"
"452","4.98"
"453","5.78"
"454","9.92"
"455","3.4"
"456","0.44"
"457","0.67"
"458","7.91"
"459","2.32"
"460","8.29"
"461","4.43"
"462","3.38"
"463","5.51"
"464","2.76"
"465","1.48"
"466","2.4"
"467","8.98"
"468","7.86"
"469","4.61"
"470","2.5"
"471","0.17"
"472","2.36"
"473","3.18"
"474","5.6"
"475","5.94"
"476","9.89"
"477","6.77"
"478","1.53"
"479","2.39"
"480","2.9"
"481","5.22"
"482","1.14"
"483","3.09"
"484","0.29"
"485","0.12"
"486","7.17"
"487","6.15"
"488","7.91"
"489","7.35"
"490","5.31"
"491","7.96"
"492","0.14"
"493","8.78"
"494","6.0"
"495","6.43"
"496","2.35"
"497","5.89"
"498","7.64"
"499","2.12"
"500","6.56"
"501","1.77"
"502","3.96"
"503","1.36"
"504","3.01"
"505","4.37"
"506","0.41"
"507","6.02"
"508","1.84"
"509","9.78"
"510","0.21"
"511","9.41"
"512","3.38"
"513","2.81"
"514","4.09"
"515","8.06"
"516","0.46"
"517","3.33"
"518","9.44"
"519","8.07"
"520","8.44"
"521","3.91"
"522","8.3"
"523","7.7"
"524","6.57"
"525","8.78"
"526","6.87"
"527","5.91"
"528","2.69"
"529","6.2"
"530","6.84"
"531","2.19"
"532","3.67"
"533","8.13"
"534","0.15"
"535","3.03"
"536","2.27"
"537","1.7"
"538","5.97"
"539","6.08"
"540","9.61"
"541","5.64"
"542","1.48"
"543","8.16"
"544","5.27"
"545","8.93"
"546","7.89"
"547","5.65"
"548","1.79"
"549","7.56"
"550","0.8"
"551","6.25"
"552","3.93"
"553","3.45"
"554","0.97"
"555","7.86"
"556","4.57"
"557","8.48"
"558","1.63"
"559","5.81"
"560","5.58"
"561","3.35"
"562","8.99"
"563","5.16"
"564","5.92"
"565","8.63"
"566","7.29"
"567","8.73"
"568","3.1"
"569","7.81"
"570","4.95"
"571","8.21"
"572","9.17"
"573","7.03"
"574","7.03"
"575","1.33"
"576","7.0"
"577","5.14"
"578","0.76"
"579","3.89"
"580","7.58"
"581","1.85"
"582","1.38"
"583","7.33"
"584","9.68"
"585","1.22"
"586","7.96"
"587","0.38"
"588","4.08"
"589","9.8"
"590","4.53"
"591","8.26"
"592","9.35"
"593","6.82"
"594","2.91"
"595","7.96"
"596","1.34"
"597","6.82"
"598","5.89"
"599","0.26"
"600","6.24"
"601","4.21"
"602","6.81"
"603","9.33"
"604","2.35"
"605","4.13"
"606","7.75"
"607","4.94"
"608","6.31"
"609","2.08"
"610","5.26"
"611","8.79"
"612","7.07"
"613","6.69"
"614","6.32"
"615","9.25"
"616","1.5"
"617","5.97"
"618","6.81"
"619","0.67"
"620","9.41"
"621","5.43"
"622","2.44"
"623","2.33"
"624","5.41"
"625","9.16"
"626","3.42"
"627","7.38"
"628","3.64"
"629","4.31"
"630","2.0"
"631","4.97"
"632","9.3"
"633","2.54"
"634","4.9"
"635","0.3"
"636","0.95"
"637","6.08"
"638","9.38"
"639","6.8"
"640","7.87"
"641","4.62"
"642","1.84"
"643","8.74"
"644","7.29"
"645","9.5"
"646","4.74"
"647","9.72"
"648","3.84"
"649","9.68"
"650","4.71"
"651","3.71"
"652","3.54"
"653","6.58"
"654","5.72"
"655","6.52"
"656","5.13"
"657","6.3"
"658","3.45"
"659","0.49"
"660","6.91"
"661","3.57"
"662","9.11"
"663","7.86"
"664","9.2"
"665","4.56"
"666","1.71"
"667","3.88"
"668","1.93"
"669","3.26"
"670","2.47"
"671","5.84"
"672","0.33"
"673","9.22"
"674","1.37"
"675","2.08"
"676","7.68"
"677","1.58"
"678","3.78"
"679","8.3"
"680","3.54"
"681","2.77"
"682","2.7"
"683","5.46"
"684","0.62"
"685","0.48"
"686","8.23"
"687","6.7"
"688","5.01"
"689","0.08"
"690","8.03"
"691","9.71"
"692","7.22"
"693","8.17"
"694","0.23"
"695","5.63"
"696","3.52"
"697","1.7"
"698","0.49"
"699","4.22"
"700","2.81"
"701","4.98"
"702","2.13"
"703","6.96"
"704","9.93"
"705","3.34"
"706","7.37"
"707","5.24"
"708","4.9"
"709","6.29"
"710","1.35"
"711","2.55"
"712","0.43"
"713","4.71"
"714","3.49"
"715","3.35"
"716","5.82"
"717","5.58"
"718","0.58"
"719","0.94"
"720","9.23"
"721","5.31"
"722","2.18"
"723","3.31"
"724","9.39"
"725","6.92"
"726","2.92"
"727","2.35"
"728","4.84"
"729","2.56"
"730","9.58"
"731","3.98"
"732","2.01"
"733","7.01"
"734","9.54"
"735","7.42"
"736","4.5"
"737","6.66"
"738","3.24"
"739","3.1"
"740","2.06"
"741","8.53"
"742","4.35"
"743","7.13"
"744","5.68"
"745","10.0"
"746","3.5"
"747","2.55"
"748","5.76"
"749","5.73"
"750","8.8"
"751","5.12"
"752","4.5"
"753","8.2"
"754","8.47"
"755","0.35"
"756","1.59"
"757","1.19"
"758","1.19"
"759","2.04"
"760","3.22"
"761","8.23"
"762","8.84"
"763","5.86"
"764","5.22"
"765","9.11"
"766","3.68"
"767","1.0"
"768","9.21"
"769","1.48"
"770","6.49"
"771","4.69"
"772","8.44"
"773","1.4"
"774","4.64"
"775","4.4"
"776","2.02"
"777","4.23"
"778","9.54"
"779","5.32"
"780","5.87"
"781","2.84"
"782","3.92"
"783","7.46"
"784","3.96"
"785","8.14"
"786","1.04"
"787","5.08"
"788","8.28"
"789","2.06"
"790","9.75"
"791","9.29"
"792","0.94"
"793","7.81"
"794","3.61"
"795","2.5"
"796","3.91"
"797","6.52"
"798","0.6"
"799","4.25"
"800","4.07"
"801","1.73"
"802","2.88"
"803","1.54"
"804","6.18"
"805","0.55"
"806","0.28"
"807","3.62"
"808","9.41"
"809","1.45"
"810","3.4"
"811","7.87"
"812","9.01"
"813","6.98"
"814","4.32"
"815","2.33"
"816","2.36"
"817","5.77"
"818","6.63"
"819","4.18"
"820","7.59"
"821","4.71"
"822","9.34"
"823","6.63"
"824","7.71"
"825","3.71"
"826","3.32"
"827","3.96"
"828","8.85"
"829","7.81"
"830","5.69"
"831","3.65"
"832","9.35"
"833","6.15"
"834","6.35"
"835","4.26"
"836","7.52"
"837","6.44"
"838","5.51"
"839","4.24"
"840","5.25"
"841","6.02"
"842","8.59"
"843","1.34"
"844","7.8"
"845","9.5"
"846","5.78"
"847","8.57"
"848","2.27"
"849","6.33"
"850","1.03"
"851","7.24"
"852","2.93"
"853","4.26"
"854","5.12"
"855","5.94"
"856","2.66"
"857","3.54"
"858","9.41"
"859","1.41"
"860","8.44"
"861","6.43"
"862","7.52"
"863","3.31"
"864","9.74"
"865","4.47"
"866","9.97"
"867","3.03"
"868","5.46"
"869","3.29"
"870","7.9"
"871","1.77"
"872","3.03"
"873","5.66"
"874","6.97"
"875","8.29"
"876","3.35"
"877","9.49"
"878","4.65"
"879","1.44"
"880","8.57"
"881","0.96"
"882","6.58"
"883","7.35"
"884","7.27"
"885","3.16"
"886","3.09"
"887","2.21"
"888","1.07"
"889","9.45"
"890","3.11"
"891","6.48"
"892","0.85"
"893","6.56"
"894","1.52"
"895","6.86"
"896","1.8"
"897","9.88"
"898","7.72"
"899","2.29"
"900","0.54"
"901","1.34"
"902","7.42"
"903","0.39"
"904","1.98"
"905","9.28"
"906","9.54"
"907","7.72"
"908","8.96"
"909","5.78"
"910","8.27"
"911","6.1"
"912","6.25"
"913","4.94"
"914","0.51"
"915","1.16"
"916","9.72"
"917","3.37"
"918","1.88"
"919","7.8"
"920","0.31"
"921","6.03"
"922","1.35"
"923","7.74"
"924","4.26"
"925","4.23"
"926","0.56"
"927","1.88"
"928","7.61"
"929","2.91"
"930","2.55"
"931","0.96"
"932","3.96"
"933","2.65"
"934","5.33"
"935","0.17"
"936","0.36"
"937","2.81"
"938","4.52"
"939","7.63"
"940","3.66"
"941","8.89"
"942","5.41"
"943","7.32"
"944","5.8"
"945","0.57"
"946","4.96"
"947","3.84"
"948","4.93"
"949","4.99"
"950","0.58"
"951","9.11"
"952","2.81"
"953","3.88"
"954","1.28"
"955","3.34"
"956","2.65"
"957","8.32"
"958","1.34"
"959","7.54"
"960","5.77"
"961","8.32"
"962","8.89"
"963","9.54"
"964","7.31"
"965","6.11"
"966","1.25"
"967","9.44"
"968","0.85"
"969","5.31"
"970","8.89"
"971","6.32"
"972","2.97"
"973","0.28"
"974","6.4"
"975","5.43"
"976","6.05"
"977","4.27"
"978","8.0"
"979","1.71"
"980","8.17"
"981","3.7"
"982","9.03"
"983","0.18"
"984","4.99"
"985","7.67"
"986","4.78"
"987","1.31"
"988","0.85"
"989","6.16"
"990","4.08"
"991","5.09"
"992","4.78"
"993","6.81"
"994","6.61"
"995","8.29"
"996","9.78"
"997","6.53"
"998","6.61"
"999","7.2"
"1000","7.17"
"1001","5.26"
"1002","1.29"
"1003","9.73"
"1004","3.22"
"1005","0.77"
"1006","7.47"
"1007","9.62"
"1008","8.94"
"1009","9.31"
"1010","1.07"
"1011","9.94"
"1012","9.09"
"1013","2.08"
"1014","1.11"
"1015","1.07"
"1016","1.23"
"1017","9.5"
"1018","1.19"
"1019","1.18"
"1020","2.69"
"1021","5.71"
"1022","6.52"
"1023","0.66"
"1024","8.91"
"1025","1.84"
"1026","9.36"
"1027","4.26"
"1028","8.55"
"1029","5.27"
"1030","0.91"
"1031","1.51"
"1032","0.66"
"1033","4.93"
"1034","2.62"
"1035","1.27"
"1036","5.52"
"1037","9.03"
"1038","8.35"
"1039","1.8"
"1040","0.59"
"1041","4.2"
"1042","7.43"
"1043","0.43"
"1044","8.5"
"1045","8.2"
"1046","5.44"
"1047","6.61"
"1048","0.18"
"1049","6.08"
"1050","6.82"
"1051","1.42"
"1052","6.89"
"1053","0.19"
"1054","5.94"
"1055","5.45"
"1056","2.97"
"1057","7.26"
"1058","5.83"
"1059","0.32"
"1060","3.25"
"1061","9.26"
"1062","7.17"
"1063","8.11"
"1064","5.13"
"1065","5.48"
"1066","6.68"
"1067","2.88"
"1068","2.22"
"1069","3.84"
"1070","5.0"
"1071","8.44"
"1072","2.97"
"1073","3.94"
"1074","8.7"
"1075","0.57"
"1076","6.95"
"1077","3.05"
"1078","8.69"
"1079","2.75"
"1080","9.27"
"1081","8.31"
"1082","3.16"
"1083","9.36"
"1084","5.18"
"1085","3.78"
"1086","7.41"
"1087","5.3"
"1088","6.76"
"1089","8.94"
"1090","9.48"
"1091","1.36"
"1092","7.96"
"1093","0.67"
"1094","6.79"
"1095","4.27"
"1096","5.88"
"1097","0.45"
"1098","5.49"
"1099","0.18"
"1100","9.88"
"1101","7.4"
"1102","4.98"
"1103","2.38"
"1104","4.74"
"1105","9.24"
"1106","4.76"
"1107","3.97"
"1108","4.36"
"1109","6.32"
"1110","5.73"
"1111","3.11"
"1112","7.73"
"1113","7.24"
"1114","2.63"
"1115","1.91"
"1116","0.37"
"1117","9.28"
"1118","6.74"
"1119","5.54"
"1120","4.14"
"1121","9.29"
"1122","0.94"
"1123","7.18"
"1124","9.05"
"1125","9.52"
"1126","2.85"
"1127","4.51"
"1128","3.78"
"1129","0.89"
"1130","7.03"
"1131","0.86"
"1132","6.81"
"1133","4.05"
"1134","7.88"
"1135","3.05"
"1136","9.22"
"1137","3.95"
"1138","8.84"
"1139","3.39"
"1140","0.53"
"1141","9.61"
"1142","7.35"
"1143","9.49"
"1144","3.71"
"1145","3.17"
"1146","8.89"
"1147","5.58"
"1148","9.55"
"1149","1.54"
"1150","1.08"
"1151","6.09"
"1152","9.22"
"1153","1.21"
"1154","1.72"
"1155","4.87"
"1156","9.28"
"1157","4.88"
"1158","2.08"
"1159","5.43"
"1160","1.23"
"1161","3.05"
"1162","9.55"
"1163","8.18"
"1164","6.92"
"1165","9.24"
"1166","0.94"
"1167","0.96"
"1168","6.41"
"1169","0.82"
"1170","9.27"
"1171","9.15"
"1172","6.0"
"1173","4.7"
"1174","0.6"
"1175","6.18"
"1176","2.46"
"1177","1.67"
"1178","1.96"
"1179","6.62"
"1180","4.62"
"1181","6.72"
"1182","2.81"
"1183","7.31"
"1184","3.81"
"1185","5.07"
"1186","6.19"
"1187","1.21"
"1188","5.99"
"1189","4.43"
"1190","4.02"
"1191","1.22"
"1192","4.8"
"1193","4.61"
"1194","9.85"
"1195","5.07"
"1196","1.56"
"1197","5.97"
"1198","6.01"
"1199","5.5"
"1200","1.52"
"1201","4.79"
"1202","4.75"
"1203","1.86"
"1204","2.9"
"1205","1.63"
"1206","8.88"
"1207","9.41"
"1208","2.26"
"1209","5.27"
"1210","4.56"
"1211","0.8"
"1212","3.96"
"1213","2.42"
"1214","7.68"
"1215","7.99"
"1216","3.88"
"1217","3.2"
"1218","8.23"
"1219","7.39"
"1220","5.23"
"1221","5.69"
"1222","9.98"
"1223","7.37"
"1224","9.59"
"1225","8.71"
"1226","3.29"
"1227","7.36"
"1228","5.91"
"1229","6.26"
"1230","8.84"
"1231","1.91"
"1232","9.95"
"1233","6.6"
"1234","5.82"
"1235","9.23"
"1236","9.19"
"1237","9.21"
"1238","1.47"
"1239","8.0"
"1240","5.96"
"1241","5.41"
"1242","9.68"
"1243","1.95"
"1244","2.83"
"1245","9.74"
"1246","4.6"
"1247","2.94"
"1248","3.83"
"1249","7.67"
"1250","2.17"
"1251","2.67"
"1252","9.58"
"1253","5.94"
"1254","4.45"
"1255","9.77"
"1256","6.59"
"1257","8.01"
"1258","1.63"
"1259","5.44"
"1260","1.79"
"1261","0.72"
"1262","0.98"
"1263","9.73"
"1264","3.61"
"1265","8.58"
"1266","6.34"
"1267","6.54"
"1268","6.28"
"1269","6.52"
"1270","7.34"
"1271","6.88"
"1272","8.16"
"1273","2.89"
"1274","9.74"
"1275","6.72"
"1276","5.27"
"1277","7.96"
"1278","9.45"
"1279","6.61"
"1280","7.84"
"1281","9.3"
"1282","8.44"
"1283","6.87"
"1284","6.48"
"1285","2.37"
"1286","6.64"
"1287","5.13"
"1288","6.86"
"1289","2.87"
"1290","7.1"
"1291","3.32"
"1292","9.71"
"1293","0.91"
"1294","0.26"
"1295","0.95"
"1296","0.48"
"1297","2.95"
"1298","2.26"
"1299","9.22"
"1300","7.44"
"1301","4.5"
"1302","1.11"
"1303","4.88"
"1304","0.03"
"1305","9.49"
"1306","7.7"
"1307","5.42"
"1308","9.8"
"1309","1.73"
"1310","3.56"
"1311","8.98"
"1312","3.55"
"1313","5.09"
"1314","4.92"
"1315","4.44"
"1316","9.17"
"1317","7.38"
"1318","4.45"
"1319","6.45"
"1320","5.98"
"1321","4.86"
"1322","8.62"
"1323","9.66"
"1324","8.47"
"1325","9.51"
"1326","5.85"
"1327","9.38"
"1328","7.59"
"1329","2.82"
"1330","9.28"
"1331","8.84"
"1332","2.69"
"1333","4.24"
"1334","8.53"
"1335","5.0"
"1336","6.39"
"1337","5.13"
"1338","0.4"
"1339","8.86"
"1340","2.34"
"1341","5.94"
"1342","4.65"
"1343","9.96"
"1344","3.88"
"1345","7.6"
"1346","6.76"
"1347","3.79"
"1348","9.46"
"1349","3.83"
"1350","3.44"
"1351","7.1"
"1352","5.83"
"1353","7.86"
"1354","9.02"
"1355","9.45"
"1356","1.69"
"1357","1.22"
"1358","2.58"
"1359","6.41"
"1360","6.79"
"1361","8.66"
"1362","1.63"
"1363","2.45"
"1364","0.97"
"1365","8.63"
"1366","7.44"
"1367","6.32"
"1368","0.36"
"1369","9.26"
"1370","5.64"
"1371","6.57"
"1372","5.37"
"1373","8.76"
"1374","8.64"
"1375","9.08"
"1376","2.76"
"1377","5.09"
"1378","1.88"
"1379","8.69"
"1380","4.62"
"1381","3.16"
"1382","2.18"
"1383","9.56"
"1384","4.62"
"1385","3.28"
"1386","3.8"
"1387","6.73"
"1388","1.53"
"1389","9.57"
"1390","8.09"
"1391","9.26"
"1392","3.55"
"1393","9.58"
"1394","2.94"
"1395","4.09"
"1396","6.5"
"1397","1.27"
"1398","2.38"
"1399","7.32"
"1400","7.47"
"1401","9.92"
"1402","8.41"
"1403","9.04"
"1404","6.54"
"1405","2.68"
"1406","0.27"
"1407","7.29"
"1408","5.73"
"1409","2.53"
"1410","5.83"
"1411","7.56"
"1412","7.71"
"1413","8.11"
"1414","6.7"
"1415","6.33"
"1416","0.56"
"1417","4.59"
"1418","1.38"
"1419","2.42"
"1420","9.32"
"1421","7.29"
"1422","0.32"
"1423","1.26"
"1424","0.49"
"1425","9.08"
"1426","8.94"
"1427","5.62"
"1428","9.68"
"1429","6.12"
"1430","2.96"
"1431","7.36"
"1432","2.1"
"1433","1.77"
"1434","1.15"
"1435","5.81"
"1436","3.06"
"1437","4.12"
"1438","9.33"
"1439","0.37"
"1440","9.59"
"1441","9.16"
"1442","8.51"
"1443","6.66"
"1444","2.33"
"1445","4.52"
